iter	RMSE
255	2.822704442
256	2.821749135
257	2.820914529
258	2.820544093
259	2.820244333
260	2.819160947
261	2.81791331
262	2.816478999
263	2.814805788
264	2.81437106
265	2.811957385
266	2.81112427
267	2.810126772
268	2.810012752
269	2.809675465
270	2.808422197
271	2.807410654
272	2.806187423
273	2.805045053
274	2.803165441
275	2.8019731
276	2.801165883
277	2.800308712
278	2.799491341
279	2.798680663
280	2.797763069
281	2.796716526
282	2.795684638
283	2.794113214
284	2.793066646
285	2.792410997
286	2.791510787
287	2.790562798
288	2.789875441
289	2.78934497
290	2.788679961
291	2.787170889
292	2.786247551
293	2.785762446
294	2.785013571
295	2.784757162
296	2.783768604
297	2.782215551
298	2.781694638
299	2.781127823
300	2.780944869
301	2.779908385
302	2.778481281
303	2.778106675
304	2.777061736
305	2.775847408
306	2.774900009
307	2.774148317
308	2.773586374
309	2.772121987
310	2.770532045
311	2.769412116
312	2.768305068
313	2.76769413
314	2.767066494
315	2.766478751
316	2.765306194
317	2.764056208
318	2.762527078
319	2.762040758
320	2.761684429
321	2.760598448
322	2.759698572
323	2.759197116
324	2.75863502
325	2.75816928
326	2.757503661
327	2.756154437
328	2.754548426
329	2.753329261
330	2.752084038
331	2.751696007
332	2.750996366
333	2.749369429
334	2.748715108
335	2.74818535
336	2.748062836
337	2.747096606
338	2.746705066
339	2.746490101
340	2.745338812
341	2.744370209
342	2.744030686
343	2.742431922
344	2.741567438
345	2.741401319
346	2.74082936
347	2.740303883
348	2.740137194
349	2.739668625
350	2.739270566
351	2.737872331
352	2.737307462
353	2.736204488
354	2.736183756
355	2.734875975
356	2.733672058
357	2.733149703
358	2.732358753
359	2.731598886
360	2.730987441
361	2.729712985
362	2.729627466
363	2.728917775
364	2.728534319
365	2.727728637
366	2.72696964
367	2.726294812
368	2.725000352
369	2.724126441
370	2.722623517
371	2.721919577
372	2.721049722
373	2.720433887
374	2.719539849
375	2.718512295
376	2.717437539
377	2.716361476
378	2.715985662
379	2.71536025
380	2.714389551
381	2.71407881
382	2.713607774
383	2.713028429
384	2.71249202
385	2.71200525
386	2.711670838
387	2.710956474
388	2.709934287
389	2.708112743
390	2.707486985
391	2.707285427
392	2.706761552
393	2.706219869
394	2.705941187
395	2.704519541
396	2.703807473
397	2.703241485
398	2.702440222
399	2.702073379
400	2.701109183
401	2.699637316
402	2.698928089
403	2.698581645
404	2.698286144
405	2.697716931
406	2.696919039
407	2.696119466
408	2.695846831
409	2.694412768
410	2.693701958
411	2.693592288
412	2.693112706
413	2.692729977
414	2.691840264
415	2.691816852
416	2.691431486
417	2.690779389
418	2.690340167
419	2.689582469
420	2.688864519
421	2.687873062
422	2.686670457
423	2.686099497
424	2.685911235
425	2.685575948
426	2.684652631
427	2.683664853
428	2.683035212
429	2.682146379
430	2.682100734
431	2.681201482
432	2.68081094
433	2.680424126
434	2.679852591
435	2.679135449
436	2.678616883
437	2.678171396
438	2.677658959
439	2.677610943
440	2.676468498
441	2.676176135
442	2.674800379
443	2.673949499
444	2.673605536
445	2.673007027
446	2.671406224
447	2.670878008
448	2.670088712
449	2.669262811
450	2.668138077
451	2.667812745
452	2.667355175
453	2.665969753
454	2.6655305
455	2.664438
456	2.66413376
457	2.663660177
458	2.663145588
459	2.661686881
460	2.660919943
461	2.659935563
462	2.659529039
463	2.658521676
464	2.657262515
465	2.656712778
466	2.655813142
467	2.655413092
468	2.654784399
469	2.654277014
470	2.653866092
471	2.653558391
472	2.653227505
473	2.652564524
474	2.652193378
475	2.650820783
476	2.650361046
477	2.649601836
478	2.649575187
479	2.648809563
480	2.648588746
481	2.647919051
482	2.647144592
483	2.647065148
484	2.646731116
485	2.646679003
486	2.64642001
487	2.646016912
488	2.645867902
489	2.645804469
490	2.644502572
491	2.643726207
492	2.642995504
493	2.642618723
494	2.64160448
495	2.641318566
496	2.641292231
497	2.641248071
498	2.640651551
499	2.640400696
500	2.63958556
501	2.639014698
502	2.638531668
503	2.637887318
504	2.636376982
505	2.636219833
506	2.635745479
507	2.635096498
508	2.634451129
509	2.634434801
510	2.633881778
511	2.633531969
512	2.633211673
513	2.632793226
514	2.632258461
515	2.632215029
516	2.631947182
517	2.630850842
518	2.630281996
519	2.629929224
520	2.629019325
521	2.628346095
522	2.62768809
523	2.626750778
524	2.626586913
525	2.626445336
526	2.625617696
527	2.624769101
528	2.624589061
529	2.624568822
530	2.624243432
531	2.623594486
